name, birth_year, genre
Jonathan_Carroll Contemporary fantasy, 1949, Contemporary fantasy
Joseph_S._Pulver _Sr. Dark fantasy, 1955, Dark fantasy
Juliet_Marillier, 1948, Historical fantasy
Juraj_Červenák Historical fantasy, 1974, Historical fantasy
J._N._Williamson Dark fantasy, 1932, Dark fantasy
Jack_Ketchum Dark fantasy, 1946, Dark fantasy
Jackie_Kessler Urban fantasy, 1970, Urban fantasy
James_Herbert Dark fantasy, 1943, Dark fantasy
James_Lowder Dark fantasy, 1963, Dark fantasy
Kealan_Patrick_Burke Dark fantasy, 1976, Dark fantasy
Kristopher_Reisz Urban fantasy, 1979, Urban fantasy
Kurt_R._A._Giambastiani Historical fantasy, 1958, Historical fantasy
Larry_Correia Urban fantasy, 1977, Urban fantasy
Lauren_Beukes Urban fantasy, 1976, Urban fantasy
Leslie_Esdaile_Banks Dark fantasy, 1959, Dark fantasy
Lilith_Saintcrow Urban fantasy, 1976, Urban fantasy
Linnea_Sinclair Romantic fantasy, 1954, Romantic fantasy
Lucifer_Chu High fantasy, 1975, High fantasy
M._A._R._Barker Science fantasy, 1929, Science fantasy
M._K._Hobson Historical fantasy, 1969, Historical fantasy
Maurice_Broaddus Urban fantasy, 1975, Urban fantasy
Melissa_Marr Urban fantasy, 1974, Urban fantasy
Michael_Cisco Dark fantasy, 1970, Dark fantasy
Michael_Hodges_(writer) Dark fantasy, 1976, Dark fantasy
Michael_J._Sullivan_(author) High fantasy, 1961, High fantasy
Michelle_Belanger Dark fantasy, 1973, Dark fantasy
Margit_Sandemo Historical fantasy, 1924, Historical fantasy
Maria_Lima Urban fantasy, 1958, Urban fantasy
Marion_Zimmer_Bradley Science fantasy, 1930, Science fantasy
Marion_Zimmer_Bradley Historical fantasy, 1930, Historical fantasy
Mark_Henry_(novelist), 1968, Urban fantasy
Mark_Morris_(author) Dark fantasy, 1963, Dark fantasy
Matt_Bell_(author) Dark fantasy, 1980, Dark fantasy
Mike_Riddell, 1953, Urban fantasy
Morgan_Llywelyn Historical fantasy, 1937, Historical fantasy
Naomi_Novik Historical fantasy, 1973, Historical fantasy
Neil_Gaiman, 1960, Dark fantasy
Paul_G._Tremblay Dark fantasy, 1971, Dark fantasy
Pendleton_Ward Science fantasy, 1982, Science fantasy
Penelope_Lively, 1933, Contemporary fantasy
P._C._Hodgell Dark fantasy, 1951, Dark fantasy
Ramsey_Campbell Dark fantasy, 1946, Dark fantasy
Raven_Oak Dark fantasy, 1977, Dark fantasy
R._L._Stine Dark fantasy, 1943, Dark fantasy
Rachel_Aukes Dark fantasy, 1972, Dark fantasy
Scott_Mebus Urban fantasy, 1974, Urban fantasy
Seanan_McGuire Urban fantasy, 1978, Urban fantasy
Seth_Skorkowsky Urban fantasy, 1978, Urban fantasy
Sharon_Creech Low fantasy, 1945, Low fantasy
Simon_R._Green Urban fantasy, 1955, Urban fantasy
Stephen_Deas, 1968, High fantasy
Stephen_Dedman, 1959, Dark fantasy
Stephen_King Dark fantasy, 1947, Dark fantasy
Sylvia_Day Urban fantasy, 1973, Urban fantasy
Themo_H._Peel High fantasy, 1982, High fantasy
Thomas_Ligotti Dark fantasy, 1953, Dark fantasy
Tom_Holt Comic fantasy, 1961, Comic fantasy
T.L._Orcutt Science fantasy, 1945, Science fantasy
Tad_Williams Dark fantasy, 1957, Dark fantasy
Tad_Williams High fantasy, 1957, High fantasy
Tad_Williams Urban fantasy, 1957, Urban fantasy
Terry_Brooks High fantasy, 1944, High fantasy
Terry_Brooks Urban fantasy, 1944, Urban fantasy
Terry_Pratchett, 1948, Comic fantasy
Vicki_Pettersson, 1972, Urban fantasy
Vladimir_Colin Science fantasy, 1921, Science fantasy
Vladimir_Colin Historical fantasy, 1921, Historical fantasy
Vladimir_Colin Heroic fantasy, 1921, Heroic fantasy
W._H._Pugmire Dark fantasy, 1951, Dark fantasy
Walter_H._Breen Science fantasy, 1928, Science fantasy
Walter_H._Breen Historical fantasy, 1928, Historical fantasy
